config_name,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,exit_reason,gross_return,net_return,holding_days,status,side,priority
config_iii,8011,2025-04-06,2025-04-07,2025-04-10,2452.0,2785.05,2319.5631910463726,target,0.13582789559543237,0.13396643723882104,3,closed,long,1
config_iii,6425,2025-04-06,2025-04-07,2025-04-16,816.0,1005.95,741.1823146681454,target,0.2327818627450981,0.22718949100188027,9,closed,long,1
config_iii,6083,2025-04-06,2025-04-07,2025-04-18,583.3333129882812,704.9666625976563,526.5067615229219,target,0.20851432088847388,0.2008133421757345,11,closed,long,1
config_iii,9348,2024-07-24,2024-07-25,2024-08-02,602.0,552.4369917450925,552.4369917450925,stop,-0.08233057849652402,-0.08958879539908625,8,closed,long,1
config_iii,1898,2025-04-06,2025-04-07,2025-04-17,1322.0,1491.45,1266.0537613138292,target,0.12817700453857794,0.12438416264273727,10,closed,long,1
config_iii,7949,2025-04-06,2025-04-07,2025-04-18,1291.0,1427.1,1238.6416070291443,target,0.10542215336948095,0.10147994439905345,11,closed,long,1
config_iii,4828,2024-12-18,2024-12-19,2025-01-07,713.0,712.0,677.2073549620491,time_stop,-0.001402524544179523,-0.008470156967472959,19,closed,long,1
config_iii,4828,2025-04-07,2025-04-08,2025-04-14,678.0,737.8,630.4227675396259,target,0.08820058997050141,0.0818406109831494,6,closed,long,1
config_iii,4743,2025-02-13,2025-02-14,2025-02-20,1330.0,1273.1643292712636,1273.1643292712636,stop,-0.04273358701408754,-0.04620137978368276,6,closed,long,1
config_iii,3964,2025-04-07,2025-04-08,2025-04-14,550.5,597.1,506.3807831743678,target,0.08465031789282475,0.0769239222126834,6,closed,long,1
config_iii,5351,2024-08-06,2024-08-07,2024-08-19,1484.0,1704.3,1347.9975904106705,target,0.14845013477088945,0.14483416903592655,12,closed,long,1
config_iii,5351,2025-04-06,2025-04-07,2025-04-18,1373.0,1562.0,1289.099214562406,time_stop,0.13765477057538236,0.13389760648115814,11,closed,long,1
config_iii,2148,2025-04-06,2025-04-07,2025-04-18,1300.0,1487.9,1224.5590837084899,target,0.14453846153846162,0.1406177028451002,11,closed,long,1
config_iii,2148,2026-03-31,2026-04-01,2026-04-14,1607.0,1558.0,1512.6468140514398,time_stop,-0.030491599253266957,-0.033977969670363393,13,closed,long,1
config_iii,4493,2024-08-06,2024-08-07,2024-08-19,1627.0,1983.4,1399.3566158036617,target,0.21905347264904737,0.21567441210396482,12,closed,long,1
config_iii,4493,2025-04-06,2025-04-07,2025-04-18,1343.0,1636.55,1188.5556430426773,target,0.2185778108711839,0.21475556870225113,11,closed,long,1
config_iii,3151,2024-08-06,2024-08-07,2024-08-16,1121.0,1256.8,1013.8369844849689,target,0.12114183764495981,0.11688318404555614,9,closed,long,1
config_iii,3151,2024-11-05,2024-11-06,2024-11-19,1174.0,1172.0,1106.2766296817629,time_stop,-0.0017035775127768314,-0.006107992812303096,13,closed,long,1
config_iii,5976,2025-04-06,2025-04-07,2025-04-18,846.0,913.0,814.5537575277815,time_stop,0.07919621749408984,0.07362424948994463,11,closed,long,1
config_iii,5132,2024-04-29,2024-04-30,2024-05-09,2200.0,2394.3166625976564,1921.7027924873116,target,0.08832575572620747,0.08581716294912155,9,closed,long,1
config_iii,6203,2025-04-06,2025-04-07,2025-04-18,929.0,1097.0,797.9828483526761,time_stop,0.18083961248654468,0.17569007181090288,11,closed,long,1
config_iii,2792,2025-04-07,2025-04-08,2025-04-18,1558.0,1619.3,1495.5446963875777,target,0.03934531450577661,0.036010797123111796,10,closed,long,1
config_iii,2168,2025-04-07,2025-04-08,2025-04-15,1941.0,2109.9,1801.9777590190743,target,0.08701700154559511,0.08441922183876414,7,closed,long,1
config_iii,6455,2025-04-06,2025-04-07,2025-04-18,1790.0,2013.5,1663.6201499707852,target,0.12486033519553072,0.12178186270758398,11,closed,long,1
config_iii,6287,2025-04-07,2025-04-08,2025-04-21,1876.0,1968.0,1736.09273147524,time_stop,0.04904051172707889,0.04591105529105938,13,closed,long,1
config_iii,4293,2025-02-17,2025-02-18,2025-02-26,365.0,347.492689744029,347.492689744029,stop,-0.04796523357800272,-0.05953783631772874,8,closed,long,1
config_iii,4026,2025-04-06,2025-04-07,2025-04-18,1179.0,1300.0,1074.5475931522624,time_stop,0.10262934690415607,0.09839280560493568,11,closed,long,1
config_iii,3611,2024-08-06,2024-08-07,2024-08-19,1259.0,1514.05,1122.1054248452526,target,0.2025814138204924,0.19848374117314238,12,closed,long,1
config_iii,3611,2025-04-06,2025-04-07,2025-04-07,1498.0,1377.553569240618,1377.553569240618,stop,-0.08040482694217764,-0.08307505391147003,0,closed,long,1
config_iii,3611,2025-04-07,2025-04-08,2025-04-18,1524.0,1705.2,1375.0140285805737,target,0.11889763779527562,0.1155058425915939,10,closed,long,1
